Plik: ./data/had12.dat

Parameters:
pop_size=200,gen=200,Px=0.8,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1748,1887,2006>
<2,1748,1898,2062>
<3,1748,1892,2062>
<4,1746,1882,2004>
<5,1732,1875,2016>
<6,1732,1878,2016>
<7,1730,1887,2008>
<8,1730,1868,2026>
<9,1730,1867,2020>
<10,1730,1874,1984>
<11,1726,1878,1992>
<12,1726,1877,1978>
<13,1726,1875,2022>
<14,1702,1871,2022>
<15,1702,1871,1996>
<16,1702,1862,1986>
<17,1702,1842,1998>
<18,1702,1833,1962>
<19,1700,1824,1962>
<20,1696,1810,1982>
<21,1692,1811,1982>
<22,1692,1810,1982>
<23,1692,1808,1982>
<24,1692,1799,1982>
<25,1692,1798,1966>
<26,1692,1782,1974>
<27,1690,1784,1974>
<28,1690,1793,1996>
<29,1686,1790,1996>
<30,1686,1794,1996>
<31,1686,1792,1996>
<32,1686,1788,1982>
<33,1686,1776,1970>
<34,1686,1774,1970>
<35,1686,1772,1936>
<36,1686,1774,1944>
<37,1686,1776,1960>
<38,1686,1773,1896>
<39,1686,1772,1948>
<40,1686,1782,1970>
<41,1686,1785,1956>
<42,1686,1782,1956>
<43,1686,1772,1956>
<44,1686,1771,1998>
<45,1686,1777,1938>
<46,1686,1772,1930>
<47,1686,1771,1924>
<48,1686,1783,1924>
<49,1686,1785,1924>
<50,1686,1778,1948>
<51,1686,1776,1884>
<52,1686,1780,1958>
<53,1686,1785,2014>
<54,1686,1788,1924>
<55,1686,1780,1884>
<56,1686,1777,1884>
<57,1686,1773,1884>
<58,1686,1787,1924>
<59,1686,1780,1884>
<60,1686,1777,1884>
<61,1686,1774,1878>
<62,1680,1780,1884>
<63,1680,1780,1884>
<64,1680,1776,1882>
<65,1680,1783,1876>
<66,1680,1781,1862>
<67,1680,1780,1852>
<68,1680,1783,1890>
<69,1680,1783,1862>
<70,1680,1786,1862>
<71,1680,1782,1858>
<72,1680,1790,1868>
<73,1680,1781,1844>
<74,1676,1777,1858>
<75,1676,1777,1858>
<76,1676,1776,1864>
<77,1676,1773,1834>
<78,1676,1780,1858>
<79,1676,1782,1858>
<80,1676,1780,1880>
<81,1676,1788,1906>
<82,1676,1792,1912>
<83,1676,1800,1922>
<84,1676,1803,1918>
<85,1676,1810,1922>
<86,1676,1810,1916>
<87,1676,1813,1928>
<88,1676,1814,1912>
<89,1676,1804,1932>
<90,1676,1802,1950>
<91,1676,1799,1894>
<92,1676,1813,1938>
<93,1676,1802,1938>
<94,1676,1798,1918>
<95,1676,1812,1928>
<96,1676,1811,1968>
<97,1676,1817,1928>
<98,1676,1828,1968>
<99,1676,1826,1932>
<100,1676,1826,1916>
<101,1676,1822,1906>
<102,1676,1820,1966>
<103,1676,1825,1940>
<104,1676,1824,1940>
<105,1676,1820,1940>
<106,1676,1825,1934>
<107,1676,1819,1930>
<108,1676,1812,1920>
<109,1676,1825,1926>
<110,1676,1806,1944>
<111,1676,1802,1944>
<112,1676,1809,1944>
<113,1676,1807,1934>
<114,1676,1798,1938>
<115,1676,1787,1960>
<116,1676,1790,1960>
<117,1676,1795,1878>
<118,1676,1789,1890>
<119,1676,1772,1874>
<120,1676,1774,1866>
<121,1676,1758,1868>
<122,1676,1763,1868>
<123,1676,1759,1854>
<124,1676,1754,1848>
<125,1676,1746,1854>
<126,1676,1760,1848>
<127,1676,1762,1848>
<128,1676,1761,1888>
<129,1676,1754,1888>
<130,1676,1744,1848>
<131,1676,1744,1882>
<132,1676,1744,1856>
<133,1676,1736,1848>
<134,1676,1733,1910>
<135,1676,1726,1920>
<136,1676,1723,1842>
<137,1676,1725,1842>
<138,1676,1723,1836>
<139,1676,1717,1806>
<140,1676,1723,1826>
<141,1676,1722,1814>
<142,1676,1719,1830>
<143,1676,1715,1798>
<144,1676,1718,1798>
<145,1676,1717,1814>
