Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<32,1734,1943,2036>
<33,1734,1944,2036>
<34,1734,1944,2004>
<35,1734,1951,2002>
<36,1734,1940,2002>
<37,1734,1936,2006>
<38,1734,1945,2028>
<39,1734,1943,2006>
<40,1734,1938,2006>
<41,1734,1940,2030>
<42,1734,1944,2030>
<43,1734,1945,2030>
<44,1734,1948,2030>
<45,1734,1943,2030>
<46,1734,1946,2030>
<47,1734,1949,2030>
<48,1734,1946,2008>
<49,1734,1944,2036>
<50,1734,1938,2004>
<51,1734,1942,2004>
<52,1734,1941,1992>
<53,1734,1941,2002>
<54,1734,1940,2002>
<55,1734,1933,1986>
<56,1734,1926,1992>
<57,1734,1933,1992>
<58,1734,1933,1992>
<59,1734,1931,1972>
<60,1734,1933,1980>
<61,1734,1924,1988>
<62,1734,1923,1980>
<63,1734,1926,2012>
<64,1734,1922,1994>
<65,1734,1924,1992>
<66,1734,1926,2002>
<67,1734,1919,2004>
<68,1734,1935,2012>
<69,1734,1935,2004>
<70,1734,1929,2018>
<71,1734,1928,2018>
<72,1734,1924,2018>
<73,1734,1918,2018>
<74,1734,1926,1992>
<75,1734,1924,1998>
<76,1734,1918,1986>
<77,1734,1912,1986>
<78,1734,1918,2002>
<79,1734,1929,2002>
<80,1734,1925,1996>
<81,1734,1915,2002>
<82,1734,1916,1986>
<83,1734,1905,1986>
<84,1734,1903,1986>
<85,1734,1909,1986>
<86,1734,1913,1986>
<87,1734,1917,1986>
<88,1734,1919,1986>
<89,1734,1913,1986>
<90,1734,1908,1960>
<91,1734,1911,1956>
<92,1734,1912,1980>
<93,1734,1905,1980>
<94,1734,1906,1980>
<95,1734,1906,1980>
<96,1734,1901,1960>
<97,1734,1897,1960>
<98,1734,1900,1958>
<99,1734,1901,1966>
<100,1734,1901,1966>
Best: [9 1 2 5 6 12 7 8 4 11 10 3],1734

4 uruchomienie
<1,1788,1886,1994>
<2,1778,1911,2004>
<3,1778,1916,2004>
<4,1768,1907,1994>
<5,1750,1906,1974>
<6,1750,1904,2030>
<7,1750,1894,2030>
<8,1730,1886,1998>
<9,1730,1878,2004>
<10,1730,1887,2004>
<11,1730,1884,2010>
<12,1718,1891,2000>
<13,1718,1895,1996>
<14,1718,1896,1990>
<15,1718,1891,2014>
<16,1718,1889,2022>
<17,1716,1885,1976>
<18,1714,1885,2026>
<19,1714,1883,2022>
<20,1714,1880,2022>
<21,1714,1880,1986>
<22,1714,1881,1998>
<23,1714,1882,1996>
<24,1714,1888,1996>
<25,1714,1890,2040>
<26,1714,1881,2040>
<27,1708,1867,2040>
<28,1666,1856,2040>
<29,1666,1865,2040>
<30,1666,1868,1988>
<31,1666,1869,1990>
<32,1666,1865,2014>
<33,1666,1883,2014>
<34,1664,1871,1996>
<35,1664,1863,2000>
<36,1664,1866,1986>
<37,1664,1866,1982>
<38,1664,1863,1982>
<39,1664,1857,1982>
<40,1664,1850,1982>
<41,1664,1852,2002>
<42,1664,1855,1988>
