Plik: ./data/had12.dat

Parameters:
pop_size=1000,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1714,1884,2032>
<2,1714,1885,2016>
<3,1714,1884,2016>
<4,1714,1885,2028>
<5,1704,1883,2028>
<6,1704,1889,2036>
<7,1690,1890,2028>
<8,1690,1889,2022>
<9,1690,1892,2010>
<10,1690,1896,2008>
<11,1690,1898,2028>
<12,1690,1900,2050>
<13,1690,1904,2050>
<14,1690,1904,2070>
<15,1690,1903,2050>
<16,1690,1905,2050>
<17,1690,1901,2038>
<18,1690,1899,2044>
<19,1690,1894,2068>
<20,1690,1894,2068>
<21,1690,1893,2068>
<22,1690,1896,2068>
<23,1690,1897,2068>
<24,1690,1899,2068>
<25,1690,1901,2068>
<26,1690,1903,2068>
<27,1690,1899,2038>
<28,1690,1898,2034>
<29,1690,1901,2034>
<30,1690,1900,2040>
<31,1690,1903,2044>
<32,1690,1906,2038>
<33,1690,1903,2038>
<34,1690,1900,2062>
<35,1690,1896,2048>
<36,1690,1895,2050>
<37,1690,1896,2032>
<38,1690,1898,2030>
<39,1690,1900,2042>
<40,1690,1899,2048>
<41,1690,1901,2048>
<42,1690,1899,2048>
<43,1690,1900,2048>
<44,1690,1899,2062>
<45,1690,1901,2062>
<46,1690,1896,2032>
<47,1690,1901,2034>
<48,1690,1904,2038>
<49,1690,1902,2052>
<50,1690,1902,2034>
<51,1690,1901,2026>
<52,1690,1901,2038>
<53,1690,1905,2046>
<54,1690,1901,2038>
<55,1690,1899,2022>
<56,1690,1896,2026>
<57,1690,1897,2034>
<58,1690,1895,2046>
<59,1690,1895,2046>
<60,1690,1895,2020>
<61,1690,1894,2020>
<62,1690,1893,2040>
<63,1690,1898,2040>
<64,1690,1897,2032>
<65,1690,1901,2034>
<66,1690,1903,2034>
<67,1690,1903,2058>
<68,1690,1902,2036>
<69,1690,1905,2046>
<70,1690,1904,2054>
<71,1690,1904,2054>
<72,1690,1897,2054>
<73,1690,1899,2054>
<74,1690,1899,2054>
<75,1690,1899,2046>
<76,1690,1898,2048>
<77,1690,1891,2048>
<78,1690,1890,2044>
<79,1690,1888,2038>
<80,1690,1884,2032>
<81,1690,1882,2036>
<82,1690,1883,2036>
<83,1690,1885,2036>
<84,1690,1882,2036>
<85,1690,1885,2036>
<86,1690,1884,2036>
<87,1690,1889,2036>
<88,1690,1888,2056>
<89,1690,1884,2056>
<90,1690,1884,2056>
<91,1690,1884,2056>
<92,1690,1882,2056>
<93,1690,1875,2048>
<94,1690,1876,2028>
<95,1690,1874,2024>
<96,1690,1875,2024>
<97,1690,1882,2036>
<98,1690,1878,2036>
<99,1690,1880,2036>
<100,1690,1876,2028>
Best: [3 10 6 8 12 7 11 5 2 1 4 9],1690

2 uruchomienie
<1,1728,1886,2044>
<2,1728,1888,2024>
<3,1728,1889,2042>
<4,1710,1889,2038>
<5,1710,1883,2014>
<6,1710,1882,2016>
<7,1710,1877,2000>
<8,1710,1881,2020>
<9,1710,1878,2022>
<10,1696,1878,2014>
<11,1696,1882,2024>
<12,1696,1885,2024>
<13,1696,1883,2048>
<14,1696,1881,2056>
<15,1696,1879,2024>
<16,1696,1877,2022>
<17,1696,1873,2022>
<18,1694,1873,2050>
<19,1694,1873,2038>
<20,1690,1870,2032>
<21,1672,1872,2032>
<22,1670,1877,2026>
<23,1670,1875,2026>
<24,1670,1882,2048>
<25,1670,1882,2040>
<26,1670,1884,2032>
<27,1670,1883,2046>
<28,1670,1880,2046>
<29,1670,1879,2046>
<30,1670,1880,2048>
<31,1670,1878,2048>
<32,1670,1884,2048>
<33,1670,1881,2036>
<34,1670,1883,2040>
<35,1670,1876,2030>
<36,1670,1882,2030>
<37,1670,1880,2034>
<38,1670,1878,2036>
<39,1670,1879,2058>
<40,1670,1879,2058>
<41,1670,1873,2046>
<42,1670,1870,2040>
