Plik: ./data/had18.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,5750,5999,6244>
<2,5750,6088,6314>
<3,5740,6065,6258>
<4,5678,6023,6298>
<5,5678,6021,6272>
<6,5676,5967,6256>
<7,5676,5989,6282>
<8,5648,5962,6162>
<9,5648,5976,6138>
<10,5614,5968,6142>
<11,5614,5936,6146>
<12,5614,5925,6106>
<13,5614,5904,6106>
<14,5614,5924,6190>
<15,5614,5959,6190>
<16,5614,5908,6110>
<17,5614,5887,6148>
<18,5604,5852,6142>
<19,5596,5872,6150>
<20,5596,5892,6116>
<21,5586,5871,6132>
<22,5586,5878,6146>
<23,5586,5893,6168>
<24,5586,5873,6168>
<25,5584,5831,6056>
<26,5552,5821,6008>
<27,5552,5794,5978>
<28,5552,5796,5964>
<29,5552,5800,5964>
<30,5552,5788,5986>
<31,5552,5784,5950>
<32,5552,5790,5960>
<33,5552,5746,5950>
<34,5552,5732,5950>
<35,5552,5716,5890>
<36,5552,5711,5890>
<37,5552,5717,5922>
<38,5552,5719,5868>
<39,5552,5747,5924>
<40,5552,5730,5924>
<41,5552,5698,5972>
<42,5552,5694,5924>
<43,5552,5678,5956>
<44,5552,5678,5910>
<45,5552,5666,5910>
<46,5552,5683,5910>
<47,5552,5683,5868>
<48,5552,5682,5868>
<49,5552,5683,5868>
<50,5552,5670,5868>
<51,5552,5649,5868>
<52,5552,5636,5868>
<53,5552,5622,5826>
<54,5552,5625,5770>
<55,5530,5622,5784>
<56,5530,5626,5784>
<57,5530,5618,5784>
<58,5530,5619,5784>
<59,5530,5619,5784>
<60,5530,5627,5934>
<61,5530,5622,5934>
<62,5530,5620,5712>
<63,5530,5616,5712>
<64,5530,5624,5910>
<65,5530,5611,5648>
<66,5530,5598,5648>
<67,5530,5609,5734>
<68,5530,5611,5672>
<69,5530,5600,5648>
<70,5530,5607,5712>
<71,5530,5609,5712>
<72,5530,5602,5712>
<73,5530,5597,5648>
<74,5530,5604,5756>
<75,5530,5606,5756>
<76,5530,5594,5648>
<77,5530,5590,5594>
<78,5530,5585,5542>
<79,5530,5586,5626>
<80,5530,5585,5530>
<81,5530,5590,5854>
<82,5530,5596,5854>
<83,5530,5585,5552>
<84,5530,5586,5614>
<85,5530,5585,5530>
<86,5530,5585,5532>
<87,5530,5589,5768>
<88,5530,5587,5630>
<89,5530,5587,5614>
<90,5530,5585,5530>
<91,5530,5585,5542>
<92,5530,5585,5542>
<93,5530,5585,5530>
<94,5530,5585,5530>
<95,5530,5585,5530>
<96,5530,5585,5546>
<97,5530,5585,5530>
<98,5530,5585,5530>
<99,5530,5585,5530>
<100,5530,5585,5530>
Best: [8 6 7 17 1 11 15 5 14 16 18 10 3 13 12 2 9 4],5530

2 uruchomienie
<1,5666,6003,6272>
<2,5666,6048,6272>
<3,5666,6025,6330>
<4,5666,6010,6330>
<5,5666,5981,6330>
<6,5666,5926,6230>
<7,5664,5957,6230>
<8,5664,5990,6230>
<9,5664,6012,6230>
<10,5664,5972,6174>
<11,5664,5942,6174>
<12,5664,5961,6174>
<13,5630,5954,6158>
<14,5630,5980,6158>
<15,5630,6002,6244>
<16,5630,6001,6244>
<17,5630,5990,6244>
<18,5630,5976,6130>
<19,5614,5968,6114>
<20,5614,5975,6162>
<21,5614,5988,6122>
<22,5614,5995,6096>
<23,5614,5977,6114>
<24,5614,5979,6126>
<25,5614,5958,6134>
<26,5614,5931,6134>
<27,5614,5918,6086>
<28,5614,5940,6094>
<29,5614,5955,6094>
<30,5614,5945,6108>
<31,5614,5895,6138>
<32,5614,5873,6130>
<33,5614,5873,6130>
<34,5614,5842,6106>
<35,5614,5861,6110>
<36,5614,5846,6162>
<37,5614,5844,6106>
<38,5614,5814,6106>
<39,5614,5812,6106>
<40,5614,5790,6106>
<41,5610,5812,6110>
