Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<32,1684,1782,1846>
<33,1684,1769,1860>
<34,1684,1767,1854>
<35,1684,1770,1854>
<36,1684,1770,1864>
<37,1684,1759,1854>
<38,1684,1764,1854>
<39,1684,1758,1846>
<40,1684,1762,1854>
<41,1684,1761,1854>
<42,1684,1766,1854>
<43,1684,1764,1854>
<44,1684,1764,1854>
<45,1684,1760,1854>
<46,1684,1756,1854>
<47,1684,1760,1848>
<48,1684,1762,1858>
<49,1684,1753,1842>
<50,1684,1748,1842>
<51,1684,1752,1842>
<52,1684,1748,1862>
<53,1684,1751,1842>
<54,1684,1751,1842>
<55,1684,1748,1842>
<56,1684,1747,1872>
<57,1684,1732,1816>
<58,1684,1737,1816>
<59,1684,1716,1812>
<60,1684,1718,1806>
<61,1684,1720,1812>
<62,1684,1719,1832>
<63,1684,1715,1832>
<64,1684,1709,1832>
<65,1684,1717,1828>
<66,1684,1713,1868>
<67,1684,1706,1828>
<68,1684,1702,1736>
<69,1684,1701,1710>
<70,1684,1700,1684>
<71,1684,1700,1684>
<72,1684,1701,1728>
<73,1684,1700,1684>
<74,1684,1700,1684>
<75,1684,1700,1684>
<76,1684,1701,1740>
<77,1684,1701,1744>
<78,1684,1702,1744>
<79,1684,1705,1776>
<80,1684,1706,1776>
<81,1684,1708,1778>
<82,1684,1706,1778>
<83,1684,1707,1778>
<84,1684,1704,1778>
<85,1684,1712,1778>
<86,1684,1720,1778>
<87,1684,1711,1778>
<88,1684,1709,1778>
<89,1684,1708,1778>
<90,1684,1711,1778>
<91,1684,1707,1778>
<92,1684,1705,1778>
<93,1684,1711,1778>
<94,1684,1718,1778>
<95,1684,1718,1778>
<96,1684,1719,1778>
<97,1684,1721,1774>
<98,1684,1707,1774>
<99,1684,1709,1774>
<100,1684,1709,1774>
