Plik: ./data/had20.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,7450,7795,8208>
<2,7450,7870,8208>
<3,7318,7829,8208>
<4,7394,7769,8208>
<5,7394,7727,7982>
<6,7394,7732,7942>
<7,7394,7719,7960>
<8,7386,7697,8010>
<9,7346,7700,8010>
<10,7346,7688,7960>
<11,7286,7656,7948>
<12,7286,7647,7948>
<13,7248,7562,7894>
<14,7248,7510,7804>
<15,7248,7487,7866>
<16,7248,7466,7766>
<17,7216,7419,7748>
<18,7216,7419,7748>
<19,7216,7425,7784>
<20,7196,7420,7724>
<21,7196,7423,7734>
<22,7196,7431,7618>
<23,7196,7393,7618>
<24,7196,7398,7618>
<25,7194,7395,7678>
<26,7194,7371,7526>
<27,7194,7373,7540>
<28,7194,7370,7568>
<29,7194,7352,7568>
<30,7194,7352,7694>
<31,7194,7361,7442>
<32,7194,7359,7534>
<33,7194,7347,7534>
<34,7194,7353,7534>
<35,7194,7363,7534>
<36,7194,7356,7534>
<37,7194,7345,7534>
<38,7194,7344,7556>
<39,7194,7317,7492>
<40,7194,7323,7580>
<41,7194,7350,7694>
<42,7194,7364,7694>
<43,7194,7400,7692>
<44,7194,7377,7694>
<45,7194,7341,7694>
<46,7194,7329,7580>
<47,7194,7365,7592>
<48,7194,7356,7580>
<49,7194,7360,7580>
<50,7194,7396,7580>
<51,7194,7370,7580>
<52,7194,7401,7616>
<53,7194,7435,7738>
<54,7194,7406,7616>
<55,7194,7448,7780>
<56,7194,7505,7744>
<57,7194,7495,7630>
<58,7194,7468,7752>
<59,7194,7483,7688>
<60,7194,7469,7746>
<61,7194,7495,7794>
<62,7194,7552,7800>
<63,7194,7513,7794>
<64,7194,7478,7796>
<65,7194,7512,7820>
<66,7194,7507,7796>
<67,7194,7544,7780>
<68,7194,7558,7592>
<69,7194,7541,7604>
<70,7194,7531,7800>
<71,7194,7527,7798>
<72,7194,7488,7798>
<73,7194,7491,7798>
<74,7194,7461,7580>
<75,7194,7445,7580>
<76,7194,7455,7580>
<77,7194,7527,7580>
<78,7194,7521,7580>
<79,7194,7516,7580>
<80,7194,7513,7580>
<81,7194,7505,7580>
<82,7194,7466,7718>
<83,7194,7442,7718>
<84,7194,7490,7718>
<85,7194,7526,7738>
<86,7194,7486,7798>
<87,7194,7482,7926>
<88,7194,7402,7746>
<89,7184,7380,7606>
<90,7184,7381,7606>
<91,7184,7401,7572>
<92,7184,7394,7572>
<93,7184,7394,7572>
<94,7184,7417,7572>
<95,7184,7413,7718>
<96,7184,7369,7572>
<97,7184,7374,7572>
<98,7184,7325,7562>
<99,7184,7321,7562>
<100,7184,7302,7548>
Best: [6 20 5 2 12 3 17 7 11 19 1 9 4 8 18 16 13 14 10 15],7184

2 uruchomienie
<1,7428,7760,8056>
<2,7428,7824,8056>
<3,7424,7810,8056>
<4,7424,7798,8180>
<5,7416,7761,7912>
<6,7416,7761,7942>
<7,7408,7754,7944>
<8,7408,7757,7968>
<9,7328,7785,8040>
<10,7328,7745,7984>
<11,7324,7737,7992>
<12,7324,7672,7926>
<13,7324,7670,7926>
<14,7324,7688,8014>
<15,7324,7670,7926>
<16,7288,7676,7926>
<17,7288,7646,7928>
<18,7288,7618,7928>
<19,7288,7579,7928>
<20,7288,7520,7928>
<21,7288,7522,7836>
<22,7288,7509,7762>
<23,7288,7531,7762>
<24,7288,7506,7742>
<25,7288,7496,7744>
<26,7288,7526,7820>
<27,7288,7454,7826>
<28,7274,7480,7826>
<29,7274,7460,7680>
<30,7274,7475,7688>
<31,7274,7419,7676>
<32,7274,7447,7676>
<33,7274,7427,7686>
<34,7274,7424,7636>
<35,7274,7446,7636>
<36,7274,7415,7696>
<37,7274,7425,7636>
<38,7274,7419,7636>
<39,7274,7453,7636>
<40,7274,7441,7636>
<41,7274,7453,7636>
