Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.8,Pm0.0,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1772,1888,1996>
<2,1772,1911,1998>
<3,1772,1904,1996>
<4,1772,1890,1996>
<5,1772,1885,1978>
<6,1772,1875,1988>
<7,1772,1879,1978>
<8,1772,1890,1956>
<9,1772,1882,1994>
<10,1772,1868,1986>
<11,1772,1861,1942>
<12,1772,1860,1946>
<13,1772,1861,1946>
<14,1772,1864,1942>
<15,1772,1866,1944>
<16,1772,1861,1944>
<17,1772,1860,1942>
<18,1772,1859,1920>
<19,1772,1861,1942>
<20,1772,1861,1942>
<21,1772,1860,1942>
<22,1772,1849,1902>
<23,1772,1850,1904>
<24,1772,1830,1904>
<25,1772,1828,1890>
<26,1772,1817,1882>
<27,1772,1814,1874>
<28,1772,1815,1874>
<29,1772,1814,1878>
<30,1772,1819,1874>
<31,1772,1823,1874>
<32,1772,1815,1874>
<33,1772,1818,1874>
<34,1772,1807,1874>
<35,1772,1808,1874>
<36,1772,1802,1874>
<37,1772,1799,1874>
<38,1772,1798,1874>
<39,1772,1803,1874>
<40,1772,1802,1874>
<41,1772,1807,1874>
<42,1772,1803,1874>
<43,1772,1801,1874>
<44,1772,1808,1874>
<45,1772,1805,1874>
<46,1772,1798,1794>
<47,1772,1799,1794>
<48,1772,1800,1794>
<49,1772,1798,1794>
<50,1772,1800,1794>
<51,1772,1798,1794>
<52,1772,1798,1794>
<53,1772,1801,1794>
<54,1772,1800,1794>
<55,1772,1800,1794>
<56,1772,1798,1794>
<57,1772,1801,1794>
<58,1772,1799,1794>
<59,1772,1797,1794>
<60,1772,1795,1794>
<61,1772,1796,1794>
<62,1772,1795,1794>
<63,1772,1794,1794>
<64,1772,1794,1794>
<65,1772,1793,1794>
<66,1772,1796,1794>
<67,1772,1795,1794>
<68,1772,1795,1794>
<69,1772,1794,1794>
<70,1772,1795,1794>
<71,1772,1794,1794>
<72,1772,1794,1794>
<73,1772,1793,1794>
<74,1772,1794,1794>
<75,1772,1796,1794>
<76,1772,1794,1794>
<77,1772,1795,1794>
<78,1772,1794,1794>
<79,1772,1796,1794>
<80,1772,1793,1794>
<81,1772,1792,1794>
<82,1772,1792,1794>
<83,1772,1793,1794>
<84,1772,1792,1794>
<85,1772,1791,1794>
<86,1772,1791,1794>
<87,1772,1790,1794>
<88,1772,1790,1794>
<89,1772,1790,1794>
<90,1772,1790,1794>
<91,1772,1790,1782>
<92,1772,1789,1772>
<93,1772,1789,1772>
<94,1772,1789,1772>
<95,1772,1789,1772>
<96,1772,1789,1772>
<97,1772,1789,1772>
<98,1772,1789,1772>
<99,1772,1789,1772>
<100,1772,1789,1772>
Best: [9 3 5 1 7 6 12 8 4 2 11 10],1772

2 uruchomienie
<1,1764,1884,2000>
<2,1756,1897,1966>
<3,1756,1879,1968>
<4,1734,1877,1998>
<5,1734,1877,1998>
<6,1726,1863,1972>
<7,1726,1860,1972>
<8,1710,1861,1956>
<9,1704,1847,1984>
<10,1704,1847,1968>
<11,1704,1841,1932>
<12,1698,1844,1942>
<13,1698,1830,1944>
<14,1698,1813,1952>
<15,1698,1801,1916>
<16,1698,1785,1934>
<17,1698,1796,1908>
<18,1698,1794,1918>
<19,1696,1765,1894>
<20,1696,1755,1888>
<21,1696,1775,1892>
<22,1696,1764,1886>
<23,1686,1774,1876>
<24,1686,1764,1918>
<25,1686,1769,1884>
<26,1686,1774,1870>
<27,1686,1787,1870>
<28,1686,1791,1872>
<29,1686,1778,1870>
<30,1686,1775,1890>
<31,1686,1780,1890>
<32,1686,1777,1870>
<33,1686,1768,1870>
<34,1686,1772,1864>
<35,1686,1750,1864>
<36,1686,1745,1838>
<37,1686,1752,1838>
<38,1686,1746,1838>
<39,1686,1754,1838>
<40,1686,1736,1838>
<41,1686,1734,1838>
<42,1686,1727,1838>
