Plik: ./data/had14.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,2940,3147,3392>
<2,2940,3184,3338>
<3,2866,3166,3380>
<4,2866,3157,3340>
<5,2866,3127,3340>
<6,2866,3100,3372>
<7,2866,3079,3302>
<8,2866,3064,3338>
<9,2866,3059,3284>
<10,2866,3085,3284>
<11,2866,3081,3318>
<12,2866,3084,3346>
<13,2866,3099,3316>
<14,2866,3082,3304>
<15,2866,3094,3334>
<16,2866,3068,3286>
<17,2860,3053,3286>
<18,2860,3075,3286>
<19,2848,3034,3272>
<20,2836,3036,3266>
<21,2836,3018,3234>
<22,2836,3003,3230>
<23,2836,2978,3190>
<24,2836,2982,3182>
<25,2836,2959,3200>
<26,2836,2950,3200>
<27,2836,2919,3156>
<28,2836,2914,3054>
<29,2836,2916,3054>
<30,2836,2904,3036>
<31,2836,2901,3036>
<32,2836,2904,3036>
<33,2836,2904,3052>
<34,2836,2895,3048>
<35,2836,2886,3048>
<36,2836,2889,3036>
<37,2836,2897,3036>
<38,2836,2913,3036>
<39,2836,2891,3036>
<40,2836,2891,2988>
<41,2836,2885,2988>
<42,2836,2902,2988>
<43,2836,2903,2988>
<44,2836,2905,2988>
<45,2836,2890,2988>
<46,2836,2895,2988>
<47,2836,2902,2988>
<48,2836,2900,2988>
<49,2836,2903,3010>
<50,2836,2911,2988>
<51,2836,2892,3068>
<52,2836,2893,3046>
<53,2836,2890,3046>
<54,2836,2892,3076>
<55,2836,2889,3046>
<56,2836,2886,3046>
<57,2836,2889,3046>
<58,2836,2883,3046>
<59,2836,2882,3046>
<60,2836,2878,3046>
<61,2836,2875,3020>
<62,2836,2874,3020>
<63,2836,2876,2946>
<64,2836,2882,2946>
<65,2836,2878,2946>
<66,2836,2873,2946>
<67,2836,2867,2946>
<68,2836,2865,2926>
<69,2836,2866,2926>
<70,2836,2864,2836>
<71,2836,2864,2836>
<72,2836,2864,2850>
<73,2810,2864,2836>
<74,2810,2863,2836>
<75,2810,2861,2836>
<76,2810,2860,2928>
<77,2810,2860,2928>
<78,2810,2858,2928>
<79,2810,2858,2928>
<80,2810,2857,2928>
<81,2810,2865,2928>
<82,2810,2870,2928>
<83,2810,2882,2928>
<84,2810,2878,2928>
<85,2810,2868,2928>
<86,2810,2879,2928>
<87,2810,2882,3020>
<88,2810,2879,2928>
<89,2810,2866,2958>
<90,2796,2858,2958>
<91,2796,2856,2950>
<92,2796,2849,2948>
<93,2796,2850,3074>
<94,2796,2860,2974>
<95,2790,2859,2974>
<96,2790,2866,3068>
<97,2790,2856,3068>
<98,2790,2846,2952>
<99,2790,2847,3060>
<100,2790,2843,2972>
Best: [13 8 5 3 10 12 2 14 11 6 1 7 9 4],2790

2 uruchomienie
<1,3024,3166,3350>
<2,2982,3189,3322>
<3,2982,3177,3318>
<4,2930,3180,3318>
<5,2930,3152,3308>
<6,2930,3157,3308>
<7,2930,3174,3308>
<8,2902,3155,3350>
<9,2902,3149,3312>
<10,2902,3142,3312>
<11,2900,3115,3288>
<12,2900,3103,3298>
<13,2900,3145,3324>
<14,2900,3125,3366>
<15,2900,3112,3286>
<16,2900,3107,3274>
<17,2900,3117,3256>
<18,2900,3106,3256>
<19,2900,3109,3208>
<20,2896,3109,3224>
<21,2896,3096,3224>
<22,2896,3112,3224>
<23,2896,3087,3220>
<24,2896,3089,3196>
<25,2896,3062,3192>
<26,2896,3046,3210>
<27,2896,3043,3192>
<28,2896,3032,3220>
<29,2896,3011,3154>
<30,2896,3031,3158>
<31,2896,3021,3134>
<32,2896,2999,3134>
<33,2892,2970,3148>
<34,2892,2985,3148>
<35,2892,2987,3144>
<36,2892,3003,3198>
<37,2892,2995,3144>
<38,2882,2978,3134>
<39,2882,2981,3134>
<40,2882,2969,3076>
<41,2882,2970,3112>
<42,2882,2984,3112>
