Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1754,1884,1984>
<2,1760,1903,2006>
<3,1760,1889,1968>
<4,1760,1884,2006>
<5,1760,1889,2020>
<6,1750,1877,2012>
<7,1738,1877,2012>
<8,1738,1870,1980>
<9,1692,1852,1980>
<10,1692,1828,1978>
<11,1692,1816,1960>
<12,1692,1816,1950>
<13,1692,1816,1970>
<14,1692,1819,1970>
<15,1692,1807,1950>
<16,1692,1796,1956>
<17,1692,1785,1920>
<18,1692,1774,1892>
<19,1692,1755,1898>
<20,1692,1761,1898>
<21,1692,1752,1876>
<22,1692,1753,1834>
<23,1692,1741,1834>
<24,1680,1773,1890>
<25,1676,1777,1900>
<26,1676,1785,1900>
<27,1676,1787,1900>
<28,1676,1780,1900>
<29,1676,1780,1900>
<30,1676,1778,1900>
<31,1676,1772,1886>
<32,1676,1765,1886>
<33,1676,1772,1886>
<34,1676,1765,1886>
<35,1676,1761,1886>
<36,1676,1762,1862>
<37,1676,1758,1846>
<38,1676,1745,1866>
<39,1676,1734,1864>
<40,1676,1731,1864>
<41,1676,1732,1822>
<42,1676,1736,1898>
<43,1676,1740,1898>
<44,1676,1745,1788>
<45,1676,1746,1788>
<46,1676,1744,1778>
<47,1676,1741,1786>
<48,1676,1736,1842>
<49,1676,1744,1886>
<50,1676,1739,1842>
<51,1676,1739,1842>
<52,1676,1744,1820>
<53,1676,1734,1826>
<54,1676,1742,1826>
<55,1676,1729,1826>
<56,1676,1723,1886>
<57,1676,1714,1798>
<58,1676,1704,1778>
<59,1676,1710,1778>
<60,1676,1717,1778>
<61,1676,1718,1792>
<62,1676,1719,1792>
<63,1676,1725,1770>
<64,1676,1727,1772>
<65,1676,1727,1772>
<66,1676,1722,1770>
<67,1676,1718,1772>
<68,1676,1715,1752>
<69,1676,1714,1752>
<70,1676,1722,1760>
<71,1676,1726,1760>
<72,1676,1724,1810>
<73,1676,1724,1836>
<74,1676,1725,1818>
<75,1676,1732,1820>
<76,1676,1737,1802>
<77,1676,1738,1802>
<78,1676,1739,1790>
<79,1676,1739,1816>
<80,1676,1728,1816>
<81,1676,1737,1820>
<82,1676,1741,1820>
<83,1676,1749,1820>
<84,1676,1747,1820>
<85,1676,1748,1820>
<86,1676,1746,1820>
<87,1676,1737,1820>
<88,1676,1721,1820>
<89,1676,1724,1820>
<90,1676,1725,1820>
<91,1676,1734,1820>
<92,1676,1743,1820>
<93,1676,1733,1820>
<94,1676,1734,1820>
<95,1676,1725,1820>
<96,1676,1721,1820>
<97,1676,1704,1814>
<98,1676,1711,1790>
<99,1676,1706,1810>
<100,1676,1706,1810>
Best: [9 4 7 1 11 12 6 2 8 5 10 3],1676

2 uruchomienie
<1,1756,1889,2006>
<2,1756,1892,1990>
<3,1756,1885,1990>
<4,1756,1887,2002>
<5,1748,1878,2032>
<6,1748,1868,2002>
<7,1748,1869,2002>
<8,1748,1862,2018>
<9,1748,1865,1966>
<10,1748,1871,1990>
<11,1748,1859,1966>
<12,1748,1846,2000>
<13,1748,1844,1960>
<14,1748,1841,1960>
<15,1748,1833,1960>
<16,1748,1835,1984>
<17,1746,1835,1960>
<18,1746,1825,1888>
<19,1746,1818,1890>
<20,1746,1815,1900>
<21,1746,1806,1890>
<22,1746,1807,1872>
<23,1746,1812,1896>
<24,1746,1808,1896>
<25,1746,1818,1892>
<26,1746,1816,1874>
<27,1744,1828,1904>
<28,1744,1821,1882>
<29,1744,1822,1888>
<30,1744,1816,1892>
<31,1744,1812,1902>
<32,1720,1809,1902>
<33,1720,1816,1870>
<34,1720,1810,1876>
<35,1720,1799,1870>
<36,1720,1797,1870>
<37,1720,1792,1870>
<38,1720,1801,1870>
<39,1720,1798,1850>
<40,1720,1790,1850>
<41,1720,1784,1850>
<42,1720,1778,1864>
