Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.2,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1776,1886,2012>
<2,1766,1914,2012>
<3,1766,1908,2012>
<4,1766,1880,2006>
<5,1766,1858,2006>
<6,1766,1856,2006>
<7,1766,1857,2006>
<8,1756,1842,2006>
<9,1756,1817,1924>
<10,1756,1821,1924>
<11,1756,1829,1924>
<12,1756,1828,1924>
<13,1756,1817,1924>
<14,1756,1809,1924>
<15,1756,1794,1926>
<16,1756,1795,1926>
<17,1744,1793,1924>
<18,1744,1798,1896>
<19,1744,1810,1896>
<20,1744,1814,1924>
<21,1744,1813,1924>
<22,1744,1828,1924>
<23,1744,1830,1982>
<24,1744,1809,1902>
<25,1744,1821,1920>
<26,1744,1821,1920>
<27,1744,1817,1910>
<28,1744,1833,1926>
<29,1744,1824,1926>
<30,1744,1826,1930>
<31,1744,1853,1940>
<32,1744,1845,1910>
<33,1744,1853,1902>
<34,1744,1861,1918>
<35,1744,1858,1928>
<36,1744,1842,1902>
<37,1744,1814,1902>
<38,1744,1814,1910>
<39,1744,1804,1902>
<40,1744,1807,1902>
<41,1744,1794,1910>
<42,1744,1809,1902>
<43,1744,1799,1902>
<44,1744,1795,1928>
<45,1744,1785,1928>
<46,1744,1777,1910>
<47,1744,1775,1910>
<48,1744,1781,1910>
<49,1744,1772,1910>
<50,1744,1770,1910>
<51,1744,1762,1780>
<52,1744,1761,1780>
<53,1744,1761,1780>
<54,1744,1761,1744>
<55,1744,1761,1744>
<56,1744,1761,1744>
<57,1744,1761,1744>
<58,1744,1761,1744>
<59,1744,1761,1744>
<60,1744,1761,1744>
<61,1744,1761,1744>
<62,1744,1761,1744>
<63,1744,1761,1744>
<64,1744,1761,1774>
<65,1744,1761,1774>
<66,1744,1761,1744>
<67,1744,1761,1744>
<68,1744,1761,1782>
<69,1732,1761,1744>
<70,1732,1761,1744>
<71,1732,1760,1804>
<72,1732,1762,1828>
<73,1732,1762,1828>
<74,1732,1762,1828>
<75,1732,1757,1828>
<76,1732,1759,1828>
<77,1732,1766,1828>
<78,1732,1773,1828>
<79,1732,1777,1898>
<80,1732,1789,1828>
<81,1732,1791,1828>
<82,1732,1780,1828>
<83,1732,1777,1828>
<84,1732,1771,1828>
<85,1732,1767,1828>
<86,1732,1764,1780>
<87,1732,1765,1780>
<88,1732,1767,1780>
<89,1732,1771,1780>
<90,1732,1767,1780>
<91,1732,1762,1780>
<92,1732,1760,1780>
<93,1732,1757,1776>
<94,1732,1756,1776>
<95,1732,1755,1770>
<96,1732,1757,1770>
<97,1732,1756,1770>
<98,1732,1758,1770>
<99,1732,1762,1770>
<100,1732,1761,1776>
Best: [3 2 7 5 6 12 9 4 10 11 1 8],1732

2 uruchomienie
<1,1704,1885,2000>
<2,1704,1899,1998>
<3,1704,1890,1968>
<4,1704,1867,1968>
<5,1704,1853,1968>
<6,1704,1838,1958>
<7,1704,1826,1958>
<8,1704,1809,1958>
<9,1704,1803,1966>
<10,1704,1783,1966>
<11,1704,1763,1958>
<12,1704,1775,1958>
<13,1704,1744,1964>
<14,1704,1762,1964>
<15,1704,1752,1964>
<16,1704,1741,1914>
<17,1704,1739,1840>
<18,1704,1736,1840>
<19,1704,1734,1840>
<20,1704,1735,1840>
<21,1704,1728,1762>
<22,1704,1727,1764>
<23,1704,1725,1762>
<24,1704,1724,1762>
<25,1704,1724,1762>
<26,1704,1721,1752>
<27,1704,1721,1704>
<28,1704,1721,1704>
<29,1704,1721,1742>
<30,1704,1721,1704>
<31,1704,1721,1704>
<32,1704,1721,1704>
<33,1704,1722,1824>
<34,1704,1722,1802>
<35,1704,1721,1704>
<36,1704,1722,1828>
<37,1704,1721,1704>
<38,1704,1741,1748>
<39,1704,1745,1748>
<40,1704,1745,1748>
<41,1704,1742,1748>
<42,1704,1743,1748>
