Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.8,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<32,1714,1751,1782>
<33,1714,1750,1782>
<34,1714,1753,1782>
<35,1714,1749,1882>
<36,1714,1752,1882>
<37,1714,1759,1882>
<38,1714,1755,1802>
<39,1714,1756,1802>
<40,1714,1760,1838>
<41,1714,1756,1780>
<42,1714,1757,1824>
<43,1714,1750,1818>
<44,1706,1752,1818>
<45,1706,1750,1762>
<46,1706,1750,1762>
<47,1706,1753,1796>
<48,1706,1756,1796>
<49,1706,1754,1876>
<50,1706,1745,1802>
<51,1706,1744,1854>
<52,1706,1742,1854>
<53,1706,1744,1894>
<54,1706,1745,1766>
<55,1706,1741,1766>
<56,1706,1737,1766>
<57,1706,1737,1786>
<58,1706,1738,1786>
<59,1706,1738,1820>
<60,1706,1761,1922>
<61,1706,1775,1920>
<62,1706,1787,1926>
<63,1706,1791,1946>
<64,1706,1808,1948>
<65,1706,1816,1958>
<66,1706,1817,1958>
<67,1706,1831,1958>
<68,1706,1827,1946>
<69,1706,1830,1938>
<70,1706,1839,1942>
<71,1706,1821,1922>
<72,1706,1836,1922>
<73,1706,1824,1940>
<74,1706,1826,1940>
<75,1706,1827,1940>
<76,1706,1803,1896>
<77,1706,1797,1926>
<78,1706,1767,1896>
<79,1706,1768,1862>
<80,1706,1751,1862>
<81,1706,1758,1862>
<82,1706,1767,1874>
<83,1706,1757,1862>
<84,1706,1750,1882>
<85,1706,1751,1862>
<86,1706,1735,1810>
<87,1706,1744,1810>
<88,1706,1742,1812>
<89,1706,1740,1810>
<90,1706,1747,1920>
<91,1706,1761,1926>
<92,1706,1771,1922>
<93,1706,1766,1922>
<94,1706,1764,1922>
<95,1706,1761,1922>
<96,1706,1745,1880>
<97,1706,1740,1880>
<98,1706,1740,1862>
<99,1706,1730,1880>
<100,1706,1727,1772>
Best: [8 2 6 3 12 10 5 1 7 11 4 9],1706

4 uruchomienie
<1,1782,1893,2004>
<2,1766,1917,2014>
<3,1766,1902,2018>
<4,1766,1874,1992>
<5,1752,1867,1966>
<6,1752,1869,1972>
<7,1752,1869,1966>
<8,1752,1875,1966>
<9,1752,1892,1958>
<10,1752,1874,1966>
<11,1752,1875,1958>
<12,1752,1865,1958>
<13,1752,1866,1958>
<14,1752,1861,1954>
<15,1752,1848,1960>
<16,1752,1837,1978>
<17,1752,1848,1978>
<18,1752,1842,1966>
<19,1738,1836,1952>
<20,1738,1833,1952>
<21,1738,1836,1952>
<22,1738,1829,1966>
<23,1738,1841,1956>
<24,1738,1846,1956>
<25,1738,1847,1960>
<26,1738,1864,1952>
<27,1738,1861,1952>
<28,1738,1832,1952>
<29,1738,1827,1936>
<30,1738,1813,1938>
<31,1738,1812,1924>
<32,1738,1816,1924>
<33,1738,1809,1932>
<34,1738,1804,1932>
<35,1738,1786,1932>
<36,1736,1779,1844>
<37,1736,1780,1842>
<38,1736,1788,1864>
<39,1736,1795,1924>
<40,1736,1788,1874>
<41,1736,1789,1858>
<42,1736,1789,1858>
<43,1734,1791,1864>
<44,1734,1793,1864>
<45,1734,1789,1864>
<46,1734,1793,1864>
<47,1734,1791,1866>
<48,1726,1791,1862>
<49,1726,1796,1876>
<50,1726,1798,1876>
<51,1726,1791,1890>
<52,1726,1778,1862>
<53,1726,1771,1852>
<54,1726,1772,1836>
<55,1726,1767,1838>
<56,1726,1768,1838>
<57,1726,1773,1838>
<58,1726,1772,1838>
<59,1726,1765,1800>
<60,1724,1766,1804>
<61,1724,1761,1788>
<62,1722,1760,1788>
<63,1722,1758,1818>
<64,1722,1760,1818>
<65,1722,1758,1780>
<66,1710,1758,1780>
<67,1710,1756,1810>
<68,1706,1751,1780>
<69,1706,1749,1780>
<70,1706,1748,1790>
<71,1706,1748,1806>
<72,1706,1748,1782>
<73,1706,1754,1818>
<74,1706,1758,1798>
<75,1706,1757,1820>
<76,1706,1758,1874>
<77,1706,1758,1786>
<78,1706,1754,1786>
<79,1706,1750,1814>
<80,1706,1749,1774>
<81,1706,1749,1762>
<82,1706,1754,1804>
<83,1706,1754,1804>
<84,1706,1763,1830>
<85,1706,1769,1830>
<86,1706,1768,1840>
<87,1706,1768,1838>
<88,1706,1768,1844>
<89,1706,1765,1828>
<90,1706,1760,1828>
<91,1706,1777,1862>
<92,1706,1791,1858>
<93,1706,1792,1870>
<94,1706,1798,1870>
<95,1706,1788,1870>
<96,1706,1781,1850>
<97,1706,1785,1864>
<98,1706,1786,1858>
<99,1706,1794,1846>
<100,1706,1798,1874>
Best: [8 1 7 5 2 12 6 10 3 11 4 9],1704

5 uruchomienie
<1,1752,1884,2004>
<2,1752,1905,2006>
<3,1720,1888,2002>
<4,1720,1878,2012>
<5,1720,1860,2016>
<6,1712,1853,2016>
<7,1712,1853,1954>
<8,1692,1835,1958>
<9,1686,1827,1974>
<10,1686,1828,1956>
<11,1686,1814,1928>
<12,1686,1819,1960>
<13,1684,1831,1950>
<14,1684,1842,1966>
<15,1680,1844,1942>
<16,1680,1816,1922>
<17,1680,1812,1936>
<18,1680,1800,1922>
<19,1672,1795,1922>
<20,1672,1803,1928>
<21,1672,1786,1886>
<22,1672,1777,1886>
<23,1672,1768,1850>
<24,1672,1772,1850>
<25,1672,1760,1850>
<26,1672,1756,1850>
<27,1672,1744,1850>
<28,1672,1739,1850>
<29,1672,1744,1842>
<30,1672,1740,1828>
<31,1672,1743,1810>
<32,1672,1746,1842>
<33,1672,1745,1842>
<34,1672,1743,1842>
<35,1672,1744,1826>
<36,1672,1733,1810>
<37,1672,1738,1810>
<38,1672,1740,1810>
<39,1672,1745,1874>
<40,1672,1754,1874>
<41,1672,1737,1828>
<42,1672,1728,1828>
<43,1672,1719,1816>
<44,1672,1707,1778>
<45,1672,1709,1778>
<46,1672,1713,1778>
<47,1672,1711,1798>
<48,1672,1703,1778>
<49,1672,1693,1778>
<50,1672,1699,1778>
<51,1672,1694,1842>
