Plik: ./data/had16.dat

Parameters:
pop_size=100,gen=100,Px=0.7,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,4026,4222,4396>
<2,4026,4278,4384>
<3,4000,4255,4410>
<4,3972,4255,4430>
<5,3972,4256,4434>
<6,3972,4242,4426>
<7,3944,4226,4406>
<8,3944,4214,4412>
<9,3916,4177,4386>
<10,3916,4161,4398>
<11,3916,4160,4396>
<12,3916,4130,4390>
<13,3910,4126,4310>
<14,3910,4137,4410>
<15,3904,4138,4410>
<16,3904,4141,4338>
<17,3904,4121,4338>
<18,3892,4104,4262>
<19,3892,4118,4282>
<20,3890,4132,4282>
<21,3880,4132,4284>
<22,3880,4106,4320>
<23,3880,4107,4288>
<24,3878,4083,4332>
<25,3878,4086,4292>
<26,3878,4042,4276>
<27,3878,4039,4256>
<28,3872,4051,4304>
<29,3872,4075,4304>
<30,3872,4072,4292>
<31,3872,4087,4292>
<32,3872,4113,4326>
<33,3872,4093,4340>
<34,3872,4088,4330>
<35,3872,4095,4330>
<36,3872,4086,4330>
<37,3872,4077,4330>
<38,3872,4088,4296>
<39,3872,4122,4292>
<40,3872,4091,4292>
<41,3872,4072,4284>
<42,3872,4063,4284>
<43,3872,4058,4260>
<44,3872,4030,4274>
<45,3872,4010,4244>
<46,3872,4010,4220>
<47,3872,3997,4196>
<48,3872,4006,4180>
<49,3872,4013,4176>
<50,3872,4023,4176>
<51,3872,4041,4176>
<52,3872,4061,4176>
<53,3872,4076,4176>
<54,3872,4080,4176>
<55,3872,4071,4176>
<56,3872,4069,4176>
<57,3872,4048,4172>
<58,3872,4061,4152>
<59,3872,4087,4180>
<60,3872,4060,4180>
<61,3872,4043,4180>
<62,3872,4025,4180>
<63,3872,4007,4152>
<64,3872,4002,4238>
<65,3872,3999,4140>
<66,3872,4032,4150>
<67,3872,4033,4162>
<68,3872,4015,4174>
<69,3872,4034,4174>
<70,3872,4017,4140>
<71,3872,4043,4150>
<72,3872,4037,4150>
<73,3872,4030,4152>
<74,3872,4060,4152>
<75,3872,4037,4152>
<76,3872,4053,4152>
<77,3872,4025,4140>
<78,3872,4011,4140>
<79,3872,3984,4140>
<80,3872,3970,4140>
<81,3872,3977,4140>
<82,3872,3985,4140>
<83,3872,3985,4136>
<84,3872,4012,4136>
<85,3872,4035,4136>
<86,3872,4036,4136>
<87,3872,4023,4136>
<88,3872,4028,4190>
<89,3872,4023,4244>
<90,3872,4007,4136>
<91,3872,4012,4124>
<92,3872,3992,4124>
<93,3872,3980,4124>
<94,3872,3978,4124>
<95,3872,3958,4124>
<96,3872,3952,4056>
<97,3872,3946,4112>
<98,3872,3964,4244>
<99,3872,3966,4128>
<100,3864,3951,4112>
Best: [9 15 16 8 13 11 5 10 4 1 6 12 2 3 7 14],3864

2 uruchomienie
<1,4064,4227,4414>
<2,4064,4270,4414>
<3,4036,4268,4428>
<4,4036,4240,4356>
<5,4028,4225,4410>
<6,4006,4211,4380>
<7,4006,4197,4380>
<8,3994,4180,4392>
<9,3994,4178,4394>
<10,3994,4164,4418>
<11,3992,4171,4408>
<12,3992,4158,4396>
<13,3988,4162,4408>
<14,3988,4171,4436>
<15,3988,4190,4384>
<16,3982,4210,4464>
<17,3982,4187,4396>
<18,3982,4177,4402>
<19,3982,4139,4406>
<20,3982,4151,4406>
<21,3982,4155,4406>
<22,3982,4149,4406>
<23,3982,4134,4340>
<24,3982,4136,4328>
<25,3982,4107,4252>
<26,3982,4100,4248>
<27,3982,4088,4248>
<28,3970,4106,4248>
<29,3970,4112,4202>
<30,3970,4089,4198>
<31,3970,4092,4306>
<32,3970,4106,4270>
<33,3970,4099,4252>
<34,3970,4099,4272>
<35,3970,4123,4282>
<36,3968,4136,4282>
<37,3968,4153,4282>
<38,3968,4155,4424>
<39,3968,4115,4286>
<40,3968,4118,4286>
<41,3968,4112,4292>
