Plik: ./data/had12.dat

Parameters:
pop_size=100,gen=100,Px=0.0,Pm0.01,tour=5,elitism=True

<nr_pokolenia, najlepsza_ocena, srednia_ocen, najgorsza_ocena>

1 uruchomienie
<1,1762,1883,2022>
<2,1762,1893,1992>
<3,1762,1885,1982>
<4,1762,1882,1982>
<5,1762,1879,1982>
<6,1762,1860,1982>
<7,1762,1853,1982>
<8,1762,1849,1922>
<9,1762,1845,1922>
<10,1762,1842,1922>
<11,1762,1840,1922>
<12,1762,1836,1922>
<13,1762,1831,1922>
<14,1762,1844,1922>
<15,1762,1833,1922>
<16,1762,1823,1922>
<17,1762,1827,1922>
<18,1762,1828,1922>
<19,1762,1817,1922>
<20,1762,1809,1922>
<21,1762,1810,1922>
<22,1762,1810,1922>
<23,1762,1807,1922>
<24,1762,1807,1922>
<25,1762,1796,1922>
<26,1762,1791,1922>
<27,1762,1791,1814>
<28,1762,1790,1814>
<29,1762,1791,1814>
<30,1762,1786,1814>
<31,1762,1784,1814>
<32,1762,1782,1814>
<33,1762,1780,1814>
<34,1762,1780,1814>
<35,1762,1780,1814>
<36,1762,1779,1762>
<37,1762,1779,1762>
<38,1762,1779,1762>
<39,1762,1779,1762>
<40,1762,1779,1762>
<41,1762,1779,1762>
<42,1762,1779,1762>
<43,1762,1779,1762>
<44,1762,1779,1762>
<45,1762,1779,1762>
<46,1762,1779,1762>
<47,1762,1779,1762>
<48,1762,1779,1762>
<49,1762,1779,1762>
<50,1762,1779,1762>
<51,1762,1779,1762>
<52,1762,1779,1762>
<53,1762,1779,1762>
<54,1762,1779,1762>
<55,1762,1779,1762>
<56,1762,1779,1762>
<57,1762,1779,1762>
<58,1762,1779,1762>
<59,1762,1779,1762>
<60,1762,1779,1762>
<61,1762,1779,1762>
<62,1776,1793,1776>
<63,1776,1793,1776>
<64,1776,1793,1776>
<65,1776,1793,1776>
<66,1776,1793,1776>
<67,1776,1793,1776>
<68,1776,1793,1776>
<69,1776,1793,1776>
<70,1776,1793,1776>
<71,1776,1793,1776>
<72,1776,1793,1776>
<73,1776,1793,1776>
<74,1776,1793,1776>
<75,1776,1793,1776>
<76,1776,1793,1776>
<77,1776,1793,1776>
<78,1776,1793,1776>
<79,1776,1793,1776>
<80,1776,1793,1776>
<81,1776,1793,1776>
<82,1776,1793,1776>
<83,1776,1793,1776>
<84,1764,1781,1764>
<85,1764,1781,1764>
<86,1764,1781,1764>
<87,1764,1781,1764>
<88,1764,1781,1764>
<89,1764,1781,1764>
<90,1764,1781,1764>
<91,1764,1781,1764>
<92,1764,1781,1764>
<93,1764,1781,1764>
<94,1764,1781,1764>
<95,1764,1781,1764>
<96,1764,1781,1764>
<97,1764,1781,1764>
<98,1764,1781,1764>
<99,1764,1781,1764>
<100,1764,1781,1764>
Best: [4 6 12 11 2 7 10 5 9 8 1 3],1764

2 uruchomienie
<1,1786,1891,2016>
<2,1786,1916,2016>
<3,1786,1922,2016>
<4,1786,1917,2016>
<5,1786,1904,2016>
<6,1786,1921,2016>
<7,1786,1892,2016>
<8,1786,1889,2016>
<9,1786,1887,2016>
<10,1786,1887,2016>
<11,1786,1876,1954>
<12,1786,1877,1954>
<13,1786,1842,1954>
<14,1786,1842,1954>
<15,1786,1841,1954>
<16,1786,1825,1954>
<17,1786,1822,1954>
<18,1786,1812,1910>
<19,1786,1810,1910>
<20,1786,1806,1910>
<21,1786,1803,1786>
<22,1786,1803,1786>
<23,1786,1803,1786>
<24,1786,1803,1786>
<25,1786,1803,1786>
<26,1786,1803,1786>
<27,1786,1803,1786>
<28,1786,1803,1786>
<29,1786,1803,1786>
<30,1786,1803,1786>
<31,1786,1803,1786>
<32,1786,1803,1786>
<33,1786,1803,1786>
<34,1786,1803,1786>
<35,1786,1803,1786>
<36,1786,1803,1786>
<37,1786,1803,1786>
<38,1786,1803,1786>
<39,1786,1803,1786>
<40,1786,1803,1786>
<41,1850,1868,1850>
<42,1850,1868,1850>
